gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue
5403336090,"Dryobates minor (Linnaeus, 1758)",Dryobates minor,Lesser Spotted Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,SPECIES,9015784,9015784,LC,Least Concern,2024-04-06,2024,4,6,42.552124,21.534575,,,Bozevce - Village,Kamenicë / Kosovska Kamenica,Gjilan / Gnjilane,,,FALSE,HUMAN_OBSERVATION,1,,obsr675612,,CLO,EBIRD,OBS2031234501,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5403127377,"Sitta europaea Linnaeus, 1758",Sitta europaea,Eurasian Nuthatch,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,SPECIES,2484916,2484916,LC,Least Concern,2024-01-14,2024,1,14,42.5471,21.533972,,,"Rruga Bozhefc (42,547, 21,534)",Kamenicë / Kosovska Kamenica,Gjilan / Gnjilane,,,FALSE,HUMAN_OBSERVATION,,,obsr3633560,,CLO,EBIRD,OBS1924048928,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5403116096,"Hirundo rustica Linnaeus, 1758",Hirundo rustica,Barn Swallow,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,SPECIES,9515886,9515886,LC,Least Concern,2024-08-22,2024,8,22,42.658325,21.162386,,,Biblioteka Kombëtare Universitare e Kosovës / National University Library of Kosovo Park,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,2,,obsr3632928,,CLO,EBIRD,OBS2406172234,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402980777,"Garrulus glandarius (Linnaeus, 1758)",Garrulus glandarius,Eurasian Jay,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,SPECIES,5229493,5229493,LC,Least Concern,2024-09-01,2024,9,1,42.162754,21.263626,,,"UCK, Pustenik (42,163, 21,264)",Kaçanik / Kačanik,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,1,,obsr3632928,,CLO,EBIRD,OBS2428824873,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402974511,"Coloeus monedula (Linnaeus, 1758)",Coloeus monedula,Western Jackdaw,Animalia,Chordata,Aves,Passeriformes,Corvidae,Coloeus,SPECIES,6100954,6100954,NE,Not Evaluated,2024-05-12,2024,5,12,42.684017,21.063864,,,"Rrugë pa emër, Kastriot (42.684, 21.064)",Obiliq / Obilić,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,2,,obsr891783,,CLO,EBIRD,OBS2148209261,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402965980,"Lanius collurio Linnaeus, 1758",Lanius collurio,Red-Backed Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,SPECIES,7745240,7745240,LC,Least Concern,2019-09-06,2019,9,6,42.11009,21.25923,,,near Kervenik,Kaçanik / Kačanik,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,,,obsr3459667,,CLO,EBIRD,OBS1983668136,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402864818,"Acrocephalus palustris (Bechstein, 1798)",Acrocephalus palustris,Marsh Warbler,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,SPECIES,2493136,2493136,LC,Least Concern,2024-06-02,2024,6,2,42.627827,21.073284,,,"Kosovo Polje (42.628, 21.073)",Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,3,,obsr891783,,CLO,EBIRD,OBS2211833304,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402755429,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,Corn Bunting,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,SPECIES,7634625,7634625,LC,Least Concern,2024-05-11,2024,5,11,42.747875,20.557491,,,"Rrugë pa emër, Veriq (42.748, 20.557)",Istog / Istok,Pejë / Peć,,,FALSE,HUMAN_OBSERVATION,3,,obsr891783,,CLO,EBIRD,OBS2143673999,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402731844,"Falco tinnunculus Linnaeus, 1758",Falco tinnunculus,Common Kestrel,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,SPECIES,9616058,9616058,LC,Least Concern,2024-04-06,2024,4,6,42.552124,21.534575,,,Bozevce - Village,Kamenicë / Kosovska Kamenica,Gjilan / Gnjilane,,,FALSE,HUMAN_OBSERVATION,1,,obsr675612,,CLO,EBIRD,OBS2032363757,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402674025,"Athene noctua (Scopoli, 1769)",Athene noctua,Little Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,SPECIES,2497266,2497266,LC,Least Concern,2024-07-17,2024,7,17,42.62339,21.150162,,,Nic,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,1,,obsr4241512,,CLO,EBIRD,OBS2324815269,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402394463,"Cyanistes caeruleus (Linnaeus, 1758)",Cyanistes caeruleus,Eurasian Blue Tit,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,SPECIES,2487879,2487879,LC,Least Concern,2024-01-14,2024,1,14,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,3,,obsr4241512,,CLO,EBIRD,OBS1923694383,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5402377776,"Athene noctua (Scopoli, 1769)",Athene noctua,Little Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,SPECIES,2497266,2497266,LC,Least Concern,2024-03-30,2024,3,30,42.552124,21.534575,,,Bozevce - Village,Kamenicë / Kosovska Kamenica,Gjilan / Gnjilane,,,FALSE,HUMAN_OBSERVATION,1,,obsr675612,,CLO,EBIRD,OBS2013976429,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
