gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue,directive,annex
3286540693,"Ardeola ralloides (Scopoli, 1769)",Ardeola ralloides,Squacco Heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,SPECIES,2480906,2480906,LC,Least Concern,2020-07-25,2020,7,25,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,11,,obsr1505715,,CLO,EBIRD,OBS960172388,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3286522433,"Egretta garzetta (Linnaeus, 1766)",Egretta garzetta,Little Egret,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,SPECIES,2480876,2480876,LC,Least Concern,2020-08-05,2020,8,5,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,8,,obsr1505715,,CLO,EBIRD,OBS964357705,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3286459979,"Aythya nyroca (Güldenstädt, 1770)",Aythya nyroca,Ferruginous Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498259,2498259,NT,Near Threatened,2020-07-25,2020,7,25,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,2,,obsr1505715,,CLO,EBIRD,OBS960172389,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3286354319,"Lanius collurio Linnaeus, 1758",Lanius collurio,Red-Backed Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,SPECIES,7745240,7745240,LC,Least Concern,2020-08-13,2020,8,13,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,2,,obsr1505715,,CLO,EBIRD,OBS967347636,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3286313932,"Ciconia ciconia (Linnaeus, 1758)",Ciconia ciconia,White Stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,SPECIES,2481912,2481912,LC,Least Concern,2020-06-18,2020,6,18,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,4,,obsr1505715,,CLO,EBIRD,OBS944692093,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3285981139,"Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)",Dendrocopos syriacus,Syrian Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,SPECIES,2478031,2478031,LC,Least Concern,2020-11-28,2020,11,28,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,1,,obsr1505715,,CLO,EBIRD,OBS1019183337,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3285454880,"Circus pygargus (Linnaeus, 1758)",Circus pygargus,Montagu's Harrier,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,SPECIES,2480495,2480495,LC,Least Concern,2020-06-09,2020,6,9,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,1,,obsr1505715,,CLO,EBIRD,OBS940078053,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3285193637,"Nycticorax nycticorax (Linnaeus, 1758)",Nycticorax nycticorax,Black-Crowned Night Heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,SPECIES,2480863,2480863,LC,Least Concern,2020-07-26,2020,7,26,42.573086000000004,21.055597,,,"Auto selected 42.57309, 21.05560",Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,2,,obsr1760945,,CLO,EBIRD,OBS960603797,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3284890937,"Circus aeruginosus (Linnaeus, 1758)",Circus aeruginosus,Western Marsh Harrier,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,SPECIES,2480482,2480482,LC,Least Concern,2020-09-30,2020,9,30,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,2,,obsr1505715,,CLO,EBIRD,OBS988747059,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
3284873964,"Ardeola ralloides (Scopoli, 1769)",Ardeola ralloides,Squacco Heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,SPECIES,2480906,2480906,LC,Least Concern,2020-07-10,2020,7,10,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,3,,obsr1505715,,CLO,EBIRD,OBS954192995,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,Birds,I
