gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue,directive,annex
4903738703,"Testudo hermanni boettgeri Mojsisovics, 1889",Testudo hermanni,Hermann's Tortoise,Animalia,Chordata,Testudines,,Testudinidae,Testudo,SUBSPECIES,6156781,2441454,VU,Vulnerable,2023-09-08T20:35:31,2023,9,8,42.713099,21.322498,27599,,,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,,,Sarah and Chad Smiley,Carole Bloom,iNaturalist,Observations,225451302,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
4892028007,"Testudo hermanni Gmelin, 1789",Testudo hermanni,Hermann's Tortoise,Animalia,Chordata,Testudines,,Testudinidae,Testudo,SPECIES,2441454,2441454,VU,Vulnerable,2024-06-05T10:14,2024,6,5,42.217897,21.324505,27661,,,Kaçanik / Kačanik,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,,,tiwi,tiwi,iNaturalist,Observations,221798002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
4878304456,"Rupicapra rupicapra balcanica Bolkay, 1925",Rupicapra rupicapra,Chamois,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,SUBSPECIES,5706429,5220170,LC,Least Concern,2022-06-14,2022,6,14,42.68569,20.05385,30,,,Pejë / Peć,Pejë / Peć,"Parku Kombëtar ""Bjeshkët e Nemuna""",National Park,FALSE,MACHINE_OBSERVATION,,,Stefan Ralević,,Wildlife Montenegro,,RTR2TTw5amNzM1R1SHFYU2R6Slo,d8a37dba-3d99-4634-ab4f-7b8d010c1a6a,CC0_1_0,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES,Habitats,II
4878304441,"Ursus arctos Linnaeus, 1758",Ursus arctos,Brown Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,SPECIES,2433433,2433433,LC,Least Concern,2022-12-29,2022,12,29,42.68569,20.05385,30,,,Pejë / Peć,Pejë / Peć,"Parku Kombëtar ""Bjeshkët e Nemuna""",National Park,FALSE,MACHINE_OBSERVATION,,,Stefan Ralević,,Wildlife Montenegro,,LWM1Q0QhVHJlRmVzb3MtKldSXUM,d8a37dba-3d99-4634-ab4f-7b8d010c1a6a,CC0_1_0,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES,Habitats,II
4875247410,Dactylorhiza cordigera (Fr.) Soó,Dactylorhiza majalis,Orchide a Foglie Larghe,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza,SPECIES,2810926,2810155,NE,Not Evaluated,2024-05-31T13:37:15,2024,5,31,42.168492,20.955497,4,,,Prizren,Prizren,"Parku Kombëtar ""Sharri""",National Park,FALSE,HUMAN_OBSERVATION,,,Natural Locasian,L D2,iNaturalist,Observations,219519071,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
4863365329,"Ursus arctos Linnaeus, 1758",Ursus arctos,Brown Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,SPECIES,2433433,2433433,LC,Least Concern,2023-10-18T14:26,2023,10,18,42.202488,21.007901,31,,,Shtërpcë / Štrpce,Ferizaj / Uroševac,"Parku Kombëtar ""Sharri""",National Park,FALSE,HUMAN_OBSERVATION,,,Szabolcs Márton,Szabolcs Márton,iNaturalist,Observations,214652822,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
4507973065,"Testudo hermanni Gmelin, 1789",Testudo hermanni,Hermann's Tortoise,Animalia,Chordata,Testudines,,Testudinidae,Testudo,SPECIES,2441454,2441454,VU,Vulnerable,2012-06-16T12:29,2012,6,16,42.257776,20.48353,27661,,,Gjakovë / Đakovica,Gjakovë / Đakovica,Mali Pashtrik dhe Liqeni i Vërmices,Nature Park,FALSE,HUMAN_OBSERVATION,,,F. Bemmerlein-Lux,F. Bemmerlein-Lux,iNaturalist,Observations,195466523,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
4407358787,"Bombina variegata (Linnaeus, 1758)",Bombina variegata,Yellow-Bellied Toad,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,SPECIES,2423435,2423435,LC,Least Concern,2023-08-31T10:59:54,2023,8,31,42.622305,21.358538,4,,,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,,,Jasper White,Jasper White,iNaturalist,Observations,181038590,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
4171859888,"Lucanus cervus (Linnaeus, 1758)",Lucanus cervus,Stag Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,SPECIES,5743122,5743122,NE,Not Evaluated,2012-06-16T11:12,2012,6,16,42.35739,20.427192,50,,,Gjakovë / Đakovica,Gjakovë / Đakovica,Shkugëza,Protected Landscape,FALSE,HUMAN_OBSERVATION,,,F. Bemmerlein-Lux,F. Bemmerlein-Lux,iNaturalist,Observations,175721257,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
4171822072,"Bombina variegata (Linnaeus, 1758)",Bombina variegata,Yellow-Bellied Toad,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,SPECIES,2423435,2423435,LC,Least Concern,2011-09-10T13:09,2011,9,10,41.919714,20.735269,20,,,Dragash / Dragaš,Prizren,"Parku Kombëtar ""Sharri""",National Park,TRUE,HUMAN_OBSERVATION,,,F. Bemmerlein-Lux,F. Bemmerlein-Lux,iNaturalist,Observations,175714804,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
