gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue
3532874164,"Streptopelia turtur (Linnaeus, 1758)",Streptopelia turtur,European Turtle-Dove,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,SPECIES,2495708,2495708,VU,Vulnerable,2021-07-11,2021,7,11,42.605972,21.060795,,,M9 Bridge over Sitnica River,Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,1,,obsr1505715,,CLO,EBIRD,OBS1198700693,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3532335515,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-05-27,2021,5,27,42.605972,21.060795,,,M9 Bridge over Sitnica River,Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,3,,obsr1505715,,CLO,EBIRD,OBS1168283182,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3531730674,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-06-12,2021,6,12,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,10,,obsr1505715,,CLO,EBIRD,OBS1180686505,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3531684552,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-04-30,2021,4,30,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,25,,obsr1505715,,CLO,EBIRD,OBS1136509849,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3529082402,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-06-27,2021,6,27,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,15,,obsr1505715,,CLO,EBIRD,OBS1190551198,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3527225416,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-04-17,2021,4,17,42.60923,21.06683,,,Miradi e Poshtme,Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,5,,obsr1505715,,CLO,EBIRD,OBS1123307747,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3525235027,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-05-15,2021,5,15,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,11,,obsr1505715,,CLO,EBIRD,OBS1155886280,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3522761486,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-05-13,2021,5,13,42.605972,21.060795,,,M9 Bridge over Sitnica River,Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,4,,obsr1505715,,CLO,EBIRD,OBS1153522642,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3521904132,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-05-24,2021,5,24,42.605972,21.060795,,,M9 Bridge over Sitnica River,Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,4,,obsr1505715,,CLO,EBIRD,OBS1165799003,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3521299713,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2021-05-02,2021,5,2,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,10,,obsr1505715,,CLO,EBIRD,OBS1138999123,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
