scientific_name,directive,annex,priority,listing_type,gbif_usage_key,gbif_species_key,match_type,matched_rank,kingdom,class,genus,alternative_name,source_celex,verbatim_entry
Stenobothrus eurasius,Habitats,II,FALSE,taxon,1710932,1710932,EXACT,SPECIES,Animalia,Insecta,Stenobothrus,,01992L0043-20130701,Stenobothrus (Stenobothrodes) eurasius
Stephanopachys linearis,Habitats,II,FALSE,taxon,4427599,4427599,EXACT,SPECIES,Animalia,Insecta,Stephanopachys,,01992L0043-20130701,Stephanopachys linearis
Stephanopachys substriatus,Habitats,II,FALSE,taxon,4427602,4427602,EXACT,SPECIES,Animalia,Insecta,Stephanopachys,,01992L0043-20130701,Stephanopachys substriatus
Stipa austroitalica,Habitats,II,TRUE,taxon,4144609,4144609,EXACT,SPECIES,Plantae,Liliopsida,Stipa,,01992L0043-20130701,* Stipa austroitalica
Stipa bavarica,Habitats,II,TRUE,taxon,4144397,4144397,EXACT,SPECIES,Plantae,Liliopsida,Stipa,,01992L0043-20130701,* Stipa bavarica
Stipa danubialis,Habitats,II,FALSE,taxon,4142270,4127831,EXACT,SPECIES,Plantae,Liliopsida,Stipa,,01992L0043-20130701,Stipa danubialis
Stipa styriaca,Habitats,II,TRUE,taxon,4132503,4127831,EXACT,SPECIES,Plantae,Liliopsida,Stipa,,01992L0043-20130701,* Stipa styriaca
Stipa veneta,Habitats,II,TRUE,taxon,4131320,4127831,EXACT,SPECIES,Plantae,Liliopsida,Stipa,,01992L0043-20130701,* Stipa veneta
Stipa zalesskii,Habitats,II,TRUE,taxon,6432021,6432021,EXACT,SPECIES,Plantae,Liliopsida,Stipa,,01992L0043-20130701,* Stipa zalesskii
Sventenia bupleuroides,Habitats,II,FALSE,taxon,3105710,3105709,EXACT,SPECIES,Plantae,Magnoliopsida,Sonchus,,01992L0043-20130701,Sventenia bupleuroides
Symphytum cycladense,Habitats,II,TRUE,taxon,7955183,7295515,EXACT,SPECIES,Plantae,Magnoliopsida,Symphytum,,01992L0043-20130701,* Symphytum cycladense
Syringa josikaea,Habitats,II,FALSE,taxon,7636833,7636833,EXACT,SPECIES,Plantae,Magnoliopsida,Syringa,,01992L0043-20130701,Syringa josikaea
Tanacetum ptarmiciflorum,Habitats,II,TRUE,taxon,3118344,4218280,EXACT,SPECIES,Plantae,Magnoliopsida,Gonospermum,,01992L0043-20130701,* Tanacetum ptarmiciflorum
Tayloria rudolphiana,Habitats,II,FALSE,taxon,5281501,5281501,EXACT,SPECIES,Plantae,Bryopsida,Tayloria,,01992L0043-20130701,Tayloria rudolphiana
Teline rosmarinifolia,Habitats,II,TRUE,taxon,4929557,5611691,EXACT,SPECIES,Plantae,Magnoliopsida,Cytisus,,01992L0043-20130701,* Teline rosmarinifolia
Teline salsoloides,Habitats,II,TRUE,taxon,3968896,3968896,EXACT,SPECIES,Plantae,Magnoliopsida,Genista,,01992L0043-20130701,* Teline salsoloides
Tephroseris longifolia moravica,Habitats,II,FALSE,taxon,4218630,3131004,EXACT,SUBSPECIES,Plantae,Magnoliopsida,Tephroseris,,01992L0043-20130701,Tephroseris longifolia moravica
Testudo graeca,Habitats,II,FALSE,taxon,2441461,2441461,EXACT,SPECIES,Animalia,Testudines,Testudo,,01992L0043-20130701,Testudo graeca
Testudo hermanni,Habitats,II,FALSE,taxon,2441454,2441454,EXACT,SPECIES,Animalia,Testudines,Testudo,,01992L0043-20130701,Testudo hermanni
Testudo marginata,Habitats,II,FALSE,taxon,2441502,2441502,EXACT,SPECIES,Animalia,Testudines,Testudo,,01992L0043-20130701,Testudo marginata
Teucrium abutiloides,Habitats,II,FALSE,taxon,3901655,3901655,EXACT,SPECIES,Plantae,Magnoliopsida,Teucrium,,01992L0043-20130701,Teucrium abutiloides
Teucrium betonicum,Habitats,II,FALSE,taxon,3898359,3898359,EXACT,SPECIES,Plantae,Magnoliopsida,Teucrium,,01992L0043-20130701,Teucrium betonicum
Teucrium lepicephalum,Habitats,II,FALSE,taxon,4931003,4931003,EXACT,SPECIES,Plantae,Magnoliopsida,Teucrium,,01992L0043-20130701,Teucrium lepicephalum
Teucrium turredanum,Habitats,II,FALSE,taxon,3892603,3892603,EXACT,SPECIES,Plantae,Magnoliopsida,Teucrium,,01992L0043-20130701,Teucrium turredanum
Thamnobryum fernandesii,Habitats,II,TRUE,taxon,7700234,7700234,EXACT,SPECIES,Plantae,Bryopsida,Thamnobryum,,01992L0043-20130701,* Thamnobryum fernandesii
Theodoxus transversalis,Habitats,II,FALSE,taxon,4562023,4562023,EXACT,SPECIES,Animalia,Gastropoda,Theodoxus,,01992L0043-20130701,Theodoxus transversalis
Thesium ebracteatum,Habitats,II,FALSE,taxon,7774938,7774938,EXACT,SPECIES,Plantae,Magnoliopsida,Thesium,,01992L0043-20130701,Thesium ebracteatum
Thlaspi jankae,Habitats,II,FALSE,taxon,3045254,3045253,EXACT,SPECIES,Plantae,Magnoliopsida,Noccaea,,01992L0043-20130701,Thlaspi jankae
Thorella verticillatinundata,Habitats,II,FALSE,taxon,6307147,3633638,EXACT,SPECIES,Plantae,Magnoliopsida,Caropsis,,01992L0043-20130701,Thorella verticillatinundata
