scientific_name,directive,annex,priority,listing_type,gbif_usage_key,gbif_species_key,match_type,matched_rank,kingdom,class,genus,alternative_name,source_celex,verbatim_entry
Accipiter brevipes,Birds,I,FALSE,taxon,2480578,2480578,EXACT,SPECIES,Animalia,Aves,Accipiter,,02009L0147-20190626,Accipiter brevipes
Accipiter gentilis arrigonii,Birds,I,FALSE,taxon,4408405,2480589,EXACT,SUBSPECIES,Animalia,Aves,Accipiter,,02009L0147-20190626,Accipiter gentilis arrigonii
Accipiter nisus granti,Birds,I,FALSE,taxon,4408410,2480637,EXACT,SUBSPECIES,Animalia,Aves,Accipiter,,02009L0147-20190626,Accipiter nisus granti
Acrocephalus melanopogon,Birds,I,FALSE,taxon,2493124,2493124,EXACT,SPECIES,Animalia,Aves,Acrocephalus,,02009L0147-20190626,Acrocephalus melanopogon
Acrocephalus paludicola,Birds,I,FALSE,taxon,2493114,2493114,EXACT,SPECIES,Animalia,Aves,Acrocephalus,,02009L0147-20190626,Acrocephalus paludicola
Aegolius funereus,Birds,I,FALSE,taxon,5739298,5739298,EXACT,SPECIES,Animalia,Aves,Aegolius,,02009L0147-20190626,Aegolius funereus
Aegypius monachus,Birds,I,FALSE,taxon,5229165,5229165,EXACT,SPECIES,Animalia,Aves,Aegypius,,02009L0147-20190626,Aegypius monachus
Alcedo atthis,Birds,I,FALSE,taxon,2475532,2475532,EXACT,SPECIES,Animalia,Aves,Alcedo,,02009L0147-20190626,Alcedo atthis
Alectoris barbara,Birds,I,FALSE,taxon,2474045,2474045,EXACT,SPECIES,Animalia,Aves,Alectoris,,02009L0147-20190626,Alectoris barbara
Alectoris graeca,Birds,I,FALSE,taxon,2474055,2474055,EXACT,SPECIES,Animalia,Aves,Alectoris,,02009L0147-20190626,Alectoris graeca
Anser albifrons flavirostris,Birds,I,FALSE,taxon,6178325,2498017,EXACT,SUBSPECIES,Animalia,Aves,Anser,,02009L0147-20190626,Anser albifrons flavirostris
Anser erythropus,Birds,I,FALSE,taxon,2498026,2498026,EXACT,SPECIES,Animalia,Aves,Anser,,02009L0147-20190626,Anser erythropus
Anthus campestris,Birds,I,FALSE,taxon,2490274,2490274,EXACT,SPECIES,Animalia,Aves,Anthus,,02009L0147-20190626,Anthus campestris
Apus caffer,Birds,I,FALSE,taxon,5228644,5228644,EXACT,SPECIES,Animalia,Aves,Apus,,02009L0147-20190626,Apus caffer
Aquila adalberti,Birds,I,FALSE,taxon,2480510,2480510,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila adalberti
Aquila chrysaetos,Birds,I,FALSE,taxon,2480506,2480506,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila chrysaetos
Aquila clanga,Birds,I,FALSE,taxon,2480509,2480509,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila clanga
Aquila heliaca,Birds,I,FALSE,taxon,2480500,2480500,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila heliaca
Aquila pomarina,Birds,I,FALSE,taxon,2480505,2480505,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila pomarina
Ardea purpurea,Birds,I,FALSE,taxon,2480934,2480934,EXACT,SPECIES,Animalia,Aves,Ardea,,02009L0147-20190626,Ardea purpurea
Ardeola ralloides,Birds,I,FALSE,taxon,2480906,2480906,EXACT,SPECIES,Animalia,Aves,Ardeola,,02009L0147-20190626,Ardeola ralloides
Asio flammeus,Birds,I,FALSE,taxon,2497295,2497295,EXACT,SPECIES,Animalia,Aves,Asio,,02009L0147-20190626,Asio flammeus
Aythya nyroca,Birds,I,FALSE,taxon,2498259,2498259,EXACT,SPECIES,Animalia,Aves,Aythya,,02009L0147-20190626,Aythya nyroca
Bonasa bonasia,Birds,I,FALSE,taxon,2473671,2473663,EXACT,SPECIES,Animalia,Aves,Tetrastes,,02009L0147-20190626,Bonasa bonasia
Botaurus stellaris,Birds,I,FALSE,taxon,2480910,2480910,EXACT,SPECIES,Animalia,Aves,Botaurus,,02009L0147-20190626,Botaurus stellaris
Branta leucopsis,Birds,I,FALSE,taxon,5232464,5232464,EXACT,SPECIES,Animalia,Aves,Branta,,02009L0147-20190626,Branta leucopsis
Branta ruficollis,Birds,I,FALSE,taxon,5232451,5232451,EXACT,SPECIES,Animalia,Aves,Branta,,02009L0147-20190626,Branta ruficollis
Bubo bubo,Birds,I,FALSE,taxon,5959092,5959092,EXACT,SPECIES,Animalia,Aves,Bubo,,02009L0147-20190626,Bubo bubo
Bucanetes githagineus,Birds,I,FALSE,taxon,2494394,2494394,EXACT,SPECIES,Animalia,Aves,Bucanetes,,02009L0147-20190626,Bucanetes githagineus
Bulweria bulwerii,Birds,I,FALSE,taxon,2481606,2481606,EXACT,SPECIES,Animalia,Aves,Bulweria,,02009L0147-20190626,Bulweria bulwerii
Burhinus oedicnemus,Birds,I,FALSE,taxon,2482100,2482100,EXACT,SPECIES,Animalia,Aves,Burhinus,,02009L0147-20190626,Burhinus oedicnemus
Buteo rufinus,Birds,I,FALSE,taxon,2480564,2480564,EXACT,SPECIES,Animalia,Aves,Buteo,,02009L0147-20190626,Buteo rufinus
Calandrella brachydactyla,Birds,I,FALSE,taxon,2490681,2490681,EXACT,SPECIES,Animalia,Aves,Calandrella,,02009L0147-20190626,Calandrella brachydactyla
Calidris alpina schinzii,Birds,I,FALSE,taxon,6177960,2481759,EXACT,SUBSPECIES,Animalia,Aves,Calidris,,02009L0147-20190626,Calidris alpina schinzii
Calonectris diomedea,Birds,I,FALSE,taxon,2481521,2481521,EXACT,SPECIES,Animalia,Aves,Calonectris,,02009L0147-20190626,Calonectris diomedea
Caprimulgus europaeus,Birds,I,FALSE,taxon,8109681,8109681,EXACT,SPECIES,Animalia,Aves,Caprimulgus,,02009L0147-20190626,Caprimulgus europaeus
Certhia brachydactyla dorotheae,Birds,I,FALSE,taxon,4408795,7806848,EXACT,SUBSPECIES,Animalia,Aves,Certhia,,02009L0147-20190626,Certhia brachydactyla dorotheae
Charadrius alexandrinus,Birds,I,FALSE,taxon,2480311,2480311,EXACT,SPECIES,Animalia,Aves,Charadrius,,02009L0147-20190626,Charadrius alexandrinus
Charadrius morinellus,Birds,I,FALSE,taxon,2480281,2480281,EXACT,SPECIES,Animalia,Aves,Charadrius,Eudromias morinellus,02009L0147-20190626,Charadrius morinellus (Eudromias morinellus)
Chersophilus duponti,Birds,I,FALSE,taxon,2490674,2490674,EXACT,SPECIES,Animalia,Aves,Chersophilus,,02009L0147-20190626,Chersophilus duponti
Chlamydotis undulata,Birds,I,FALSE,taxon,2474864,2474864,EXACT,SPECIES,Animalia,Aves,Chlamydotis,,02009L0147-20190626,Chlamydotis undulata
Chlidonias hybridus,Birds,I,FALSE,taxon,2481121,2481121,VARIANT,SPECIES,Animalia,Aves,Chlidonias,,02009L0147-20190626,Chlidonias hybridus
Chlidonias niger,Birds,I,FALSE,taxon,2481119,2481119,EXACT,SPECIES,Animalia,Aves,Chlidonias,,02009L0147-20190626,Chlidonias niger
Ciconia ciconia,Birds,I,FALSE,taxon,2481912,2481912,EXACT,SPECIES,Animalia,Aves,Ciconia,,02009L0147-20190626,Ciconia ciconia
Ciconia nigra,Birds,I,FALSE,taxon,2481909,2481909,EXACT,SPECIES,Animalia,Aves,Ciconia,,02009L0147-20190626,Ciconia nigra
Circaetus gallicus,Birds,I,FALSE,taxon,2480666,2480666,EXACT,SPECIES,Animalia,Aves,Circaetus,,02009L0147-20190626,Circaetus gallicus
Circus aeruginosus,Birds,I,FALSE,taxon,2480482,2480482,EXACT,SPECIES,Animalia,Aves,Circus,,02009L0147-20190626,Circus aeruginosus
Circus cyaneus,Birds,I,FALSE,taxon,2480487,2480487,EXACT,SPECIES,Animalia,Aves,Circus,,02009L0147-20190626,Circus cyaneus
Circus macrourus,Birds,I,FALSE,taxon,2480491,2480491,EXACT,SPECIES,Animalia,Aves,Circus,,02009L0147-20190626,Circus macrourus
Circus pygargus,Birds,I,FALSE,taxon,2480495,2480495,EXACT,SPECIES,Animalia,Aves,Circus,,02009L0147-20190626,Circus pygargus
Columba bollii,Birds,I,FALSE,taxon,2495427,2495427,EXACT,SPECIES,Animalia,Aves,Columba,,02009L0147-20190626,Columba bollii
Columba junoniae,Birds,I,FALSE,taxon,2495434,2495434,EXACT,SPECIES,Animalia,Aves,Columba,,02009L0147-20190626,Columba junoniae
Columba palumbus azorica,Birds,I,FALSE,taxon,2495459,2495455,EXACT,SUBSPECIES,Animalia,Aves,Columba,,02009L0147-20190626,Columba palumbus azorica
Columba trocaz,Birds,I,FALSE,taxon,2495406,2495406,EXACT,SPECIES,Animalia,Aves,Columba,,02009L0147-20190626,Columba trocaz
Coracias garrulus,Birds,I,FALSE,taxon,2475365,2475365,EXACT,SPECIES,Animalia,Aves,Coracias,,02009L0147-20190626,Coracias garrulus
Crex crex,Birds,I,FALSE,taxon,4408498,4408498,EXACT,SPECIES,Animalia,Aves,Crex,,02009L0147-20190626,Crex crex
Cursorius cursor,Birds,I,FALSE,taxon,2480740,2480740,EXACT,SPECIES,Animalia,Aves,Cursorius,,02009L0147-20190626,Cursorius cursor
Cygnus bewickii,Birds,I,FALSE,taxon,4409105,2498338,EXACT,SPECIES,Animalia,Aves,Cygnus,Cygnus columbianus bewickii,02009L0147-20190626,Cygnus bewickii (Cygnus columbianus bewickii)
Cygnus cygnus,Birds,I,FALSE,taxon,2498347,2498347,EXACT,SPECIES,Animalia,Aves,Cygnus,,02009L0147-20190626,Cygnus cygnus
Dendrocopos leucotos,Birds,I,FALSE,taxon,2477927,2477927,EXACT,SPECIES,Animalia,Aves,Dendrocopos,,02009L0147-20190626,Dendrocopos leucotos
Dendrocopos major canariensis,Birds,I,FALSE,taxon,6177296,2477968,EXACT,SUBSPECIES,Animalia,Aves,Dendrocopos,,02009L0147-20190626,Dendrocopos major canariensis
Dendrocopos major thanneri,Birds,I,FALSE,taxon,6177279,2477968,EXACT,SUBSPECIES,Animalia,Aves,Dendrocopos,,02009L0147-20190626,Dendrocopos major thanneri
Dendrocopos medius,Birds,I,FALSE,taxon,2478026,8773033,EXACT,SPECIES,Animalia,Aves,Dendrocoptes,,02009L0147-20190626,Dendrocopos medius
Dendrocopos syriacus,Birds,I,FALSE,taxon,2478031,2478031,EXACT,SPECIES,Animalia,Aves,Dendrocopos,,02009L0147-20190626,Dendrocopos syriacus
Dryocopus martius,Birds,I,FALSE,taxon,2477872,2477872,EXACT,SPECIES,Animalia,Aves,Dryocopus,,02009L0147-20190626,Dryocopus martius
Egretta alba,Birds,I,FALSE,taxon,2480946,9752617,EXACT,SPECIES,Animalia,Aves,Ardea,Ardea alba,02009L0147-20190626,Egretta alba (Ardea alba)
Egretta garzetta,Birds,I,FALSE,taxon,2480876,2480876,EXACT,SPECIES,Animalia,Aves,Egretta,,02009L0147-20190626,Egretta garzetta
Elanus caeruleus,Birds,I,FALSE,taxon,2480372,2480372,EXACT,SPECIES,Animalia,Aves,Elanus,,02009L0147-20190626,Elanus caeruleus
Emberiza caesia,Birds,I,FALSE,taxon,2491490,2491490,EXACT,SPECIES,Animalia,Aves,Emberiza,,02009L0147-20190626,Emberiza caesia
Emberiza cineracea,Birds,I,FALSE,taxon,2491469,2491469,EXACT,SPECIES,Animalia,Aves,Emberiza,,02009L0147-20190626,Emberiza cineracea
Emberiza hortulana,Birds,I,FALSE,taxon,2491482,2491482,EXACT,SPECIES,Animalia,Aves,Emberiza,,02009L0147-20190626,Emberiza hortulana
Falco biarmicus,Birds,I,FALSE,taxon,8014966,8014966,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco biarmicus
Falco cherrug,Birds,I,FALSE,taxon,2481034,2481034,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco cherrug
Falco columbarius,Birds,I,FALSE,taxon,9813242,9813242,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco columbarius
Falco eleonorae,Birds,I,FALSE,taxon,2481037,2481037,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco eleonorae
Falco naumanni,Birds,I,FALSE,taxon,9584698,9584698,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco naumanni
Falco peregrinus,Birds,I,FALSE,taxon,2481047,2481047,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco peregrinus
Falco rusticolus,Birds,I,FALSE,taxon,8069880,8069880,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco rusticolus
Falco vespertinus,Birds,I,FALSE,taxon,2481062,2481062,EXACT,SPECIES,Animalia,Aves,Falco,,02009L0147-20190626,Falco vespertinus
Ficedula albicollis,Birds,I,FALSE,taxon,2492601,2492601,EXACT,SPECIES,Animalia,Aves,Ficedula,,02009L0147-20190626,Ficedula albicollis
Ficedula parva,Birds,I,FALSE,taxon,2492605,2492605,EXACT,SPECIES,Animalia,Aves,Ficedula,,02009L0147-20190626,Ficedula parva
Ficedula semitorquata,Birds,I,FALSE,taxon,2492608,2492608,EXACT,SPECIES,Animalia,Aves,Ficedula,,02009L0147-20190626,Ficedula semitorquata
Fringilla coelebs ombriosa,Birds,I,FALSE,taxon,6175538,2494422,EXACT,SUBSPECIES,Animalia,Aves,Fringilla,,02009L0147-20190626,Fringilla coelebs ombriosa
Fringilla teydea,Birds,I,FALSE,taxon,2494442,2494442,EXACT,SPECIES,Animalia,Aves,Fringilla,,02009L0147-20190626,Fringilla teydea
Fulica cristata,Birds,I,FALSE,taxon,2474381,2474381,EXACT,SPECIES,Animalia,Aves,Fulica,,02009L0147-20190626,Fulica cristata
Galerida theklae,Birds,I,FALSE,taxon,9330514,9330514,EXACT,SPECIES,Animalia,Aves,Galerida,,02009L0147-20190626,Galerida theklae
Gallinago media,Birds,I,FALSE,taxon,2481831,2481831,EXACT,SPECIES,Animalia,Aves,Gallinago,,02009L0147-20190626,Gallinago media
Gavia arctica,Birds,I,FALSE,taxon,2481959,2481959,EXACT,SPECIES,Animalia,Aves,Gavia,,02009L0147-20190626,Gavia arctica
Gavia immer,Birds,I,FALSE,taxon,2481962,2481962,EXACT,SPECIES,Animalia,Aves,Gavia,,02009L0147-20190626,Gavia immer
Gavia stellata,Birds,I,FALSE,taxon,2481958,2481958,EXACT,SPECIES,Animalia,Aves,Gavia,,02009L0147-20190626,Gavia stellata
Gelochelidon nilotica,Birds,I,FALSE,taxon,2481263,2481263,EXACT,SPECIES,Animalia,Aves,Gelochelidon,Sterna nilotica,02009L0147-20190626,Gelochelidon nilotica (Sterna nilotica)
Glareola pratincola,Birds,I,FALSE,taxon,2480757,2480757,EXACT,SPECIES,Animalia,Aves,Glareola,,02009L0147-20190626,Glareola pratincola
Glaucidium passerinum,Birds,I,FALSE,taxon,5232162,5232162,EXACT,SPECIES,Animalia,Aves,Glaucidium,,02009L0147-20190626,Glaucidium passerinum
Grus grus,Birds,I,FALSE,taxon,2474950,2474950,EXACT,SPECIES,Animalia,Aves,Grus,,02009L0147-20190626,Grus grus
Gypaetus barbatus,Birds,I,FALSE,taxon,2480649,2480649,EXACT,SPECIES,Animalia,Aves,Gypaetus,,02009L0147-20190626,Gypaetus barbatus
Gyps fulvus,Birds,I,FALSE,taxon,2480389,2480389,EXACT,SPECIES,Animalia,Aves,Gyps,,02009L0147-20190626,Gyps fulvus
Haliaeetus albicilla,Birds,I,FALSE,taxon,2480449,2480449,EXACT,SPECIES,Animalia,Aves,Haliaeetus,,02009L0147-20190626,Haliaeetus albicilla
Hieraaetus fasciatus,Birds,I,FALSE,taxon,2480690,5844449,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Hieraaetus fasciatus
Hieraaetus pennatus,Birds,I,FALSE,taxon,2480685,2480685,EXACT,SPECIES,Animalia,Aves,Hieraaetus,,02009L0147-20190626,Hieraaetus pennatus
Himantopus himantopus,Birds,I,FALSE,taxon,5229126,5229126,EXACT,SPECIES,Animalia,Aves,Himantopus,,02009L0147-20190626,Himantopus himantopus
Hippolais olivetorum,Birds,I,FALSE,taxon,2493219,2493219,EXACT,SPECIES,Animalia,Aves,Hippolais,,02009L0147-20190626,Hippolais olivetorum
Hoplopterus spinosus,Birds,I,FALSE,taxon,11380022,5229142,EXACT,SPECIES,Animalia,Aves,Vanellus,,02009L0147-20190626,Hoplopterus spinosus
Hydrobates pelagicus,Birds,I,FALSE,taxon,4408455,4408455,EXACT,SPECIES,Animalia,Aves,Hydrobates,,02009L0147-20190626,Hydrobates pelagicus
Ixobrychus minutus,Birds,I,FALSE,taxon,2480850,2480850,EXACT,SPECIES,Animalia,Aves,Ixobrychus,,02009L0147-20190626,Ixobrychus minutus
Lagopus mutus helveticus,Birds,I,FALSE,taxon,11259389,5227679,EXACT,SUBSPECIES,Animalia,Aves,Lagopus,,02009L0147-20190626,Lagopus mutus helveticus
Lagopus mutus pyrenaicus,Birds,I,FALSE,taxon,8872650,5227679,EXACT,SUBSPECIES,Animalia,Aves,Lagopus,,02009L0147-20190626,Lagopus mutus pyrenaicus
Lanius collurio,Birds,I,FALSE,taxon,7745240,7745240,EXACT,SPECIES,Animalia,Aves,Lanius,,02009L0147-20190626,Lanius collurio
Lanius minor,Birds,I,FALSE,taxon,2492854,2492854,EXACT,SPECIES,Animalia,Aves,Lanius,,02009L0147-20190626,Lanius minor
Lanius nubicus,Birds,I,FALSE,taxon,2492855,2492855,EXACT,SPECIES,Animalia,Aves,Lanius,,02009L0147-20190626,Lanius nubicus
Larus audouinii,Birds,I,FALSE,taxon,2481193,7406504,EXACT,SPECIES,Animalia,Aves,Ichthyaetus,,02009L0147-20190626,Larus audouinii
Larus genei,Birds,I,FALSE,taxon,2481178,6065810,EXACT,SPECIES,Animalia,Aves,Chroicocephalus,,02009L0147-20190626,Larus genei
Larus melanocephalus,Birds,I,FALSE,taxon,2481194,8151548,EXACT,SPECIES,Animalia,Aves,Ichthyaetus,,02009L0147-20190626,Larus melanocephalus
Larus minutus,Birds,I,FALSE,taxon,2481143,6065841,EXACT,SPECIES,Animalia,Aves,Hydrocoloeus,,02009L0147-20190626,Larus minutus
Limosa lapponica,Birds,I,FALSE,taxon,2481681,2481681,EXACT,SPECIES,Animalia,Aves,Limosa,,02009L0147-20190626,Limosa lapponica
Loxia scotica,Birds,I,FALSE,taxon,2494177,2494177,EXACT,SPECIES,Animalia,Aves,Loxia,,02009L0147-20190626,Loxia scotica
Lullula arborea,Birds,I,FALSE,taxon,2490604,2490604,EXACT,SPECIES,Animalia,Aves,Lullula,,02009L0147-20190626,Lullula arborea
Luscinia svecica,Birds,I,FALSE,taxon,4408732,4408732,EXACT,SPECIES,Animalia,Aves,Luscinia,,02009L0147-20190626,Luscinia svecica
Marmaronetta angustirostris,Birds,I,FALSE,taxon,2498390,2498390,EXACT,SPECIES,Animalia,Aves,Marmaronetta,,02009L0147-20190626,Marmaronetta angustirostris
Melanocorypha calandra,Birds,I,FALSE,taxon,2490613,2490613,EXACT,SPECIES,Animalia,Aves,Melanocorypha,,02009L0147-20190626,Melanocorypha calandra
Mergus albellus,Birds,I,FALSE,taxon,2498286,2498285,EXACT,SPECIES,Animalia,Aves,Mergellus,Mergellus albellus,02009L0147-20190626,Mergus albellus (Mergellus albellus)
Milvus migrans,Birds,I,FALSE,taxon,5229167,5229167,EXACT,SPECIES,Animalia,Aves,Milvus,,02009L0147-20190626,Milvus migrans
Milvus milvus,Birds,I,FALSE,taxon,5229168,5229168,EXACT,SPECIES,Animalia,Aves,Milvus,,02009L0147-20190626,Milvus milvus
Neophron percnopterus,Birds,I,FALSE,taxon,2480696,2480696,EXACT,SPECIES,Animalia,Aves,Neophron,,02009L0147-20190626,Neophron percnopterus
Numenius tenuirostris,Birds,I,FALSE,taxon,2481789,2481789,EXACT,SPECIES,Animalia,Aves,Numenius,,02009L0147-20190626,Numenius tenuirostris
Nyctea scandiaca,Birds,I,FALSE,taxon,2497581,5959143,EXACT,SPECIES,Animalia,Aves,Bubo,,02009L0147-20190626,Nyctea scandiaca
Nycticorax nycticorax,Birds,I,FALSE,taxon,2480863,2480863,EXACT,SPECIES,Animalia,Aves,Nycticorax,,02009L0147-20190626,Nycticorax nycticorax
Oceanodroma castro,Birds,I,FALSE,taxon,2482001,2482001,EXACT,SPECIES,Animalia,Aves,Oceanodroma,,02009L0147-20190626,Oceanodroma castro
Oceanodroma leucorhoa,Birds,I,FALSE,taxon,2482012,2482012,EXACT,SPECIES,Animalia,Aves,Oceanodroma,,02009L0147-20190626,Oceanodroma leucorhoa
Oenanthe cypriaca,Birds,I,FALSE,taxon,5231234,5231234,EXACT,SPECIES,Animalia,Aves,Oenanthe,,02009L0147-20190626,Oenanthe cypriaca
Oenanthe leucura,Birds,I,FALSE,taxon,5231236,5231236,EXACT,SPECIES,Animalia,Aves,Oenanthe,,02009L0147-20190626,Oenanthe leucura
Oenanthe pleschanka,Birds,I,FALSE,taxon,5231233,5231233,EXACT,SPECIES,Animalia,Aves,Oenanthe,,02009L0147-20190626,Oenanthe pleschanka
Otis tarda,Birds,I,FALSE,taxon,2474921,2474921,EXACT,SPECIES,Animalia,Aves,Otis,,02009L0147-20190626,Otis tarda
Oxyura leucocephala,Birds,I,FALSE,taxon,2498302,2498302,EXACT,SPECIES,Animalia,Aves,Oxyura,,02009L0147-20190626,Oxyura leucocephala
Pandion haliaetus,Birds,I,FALSE,taxon,2480726,2480726,EXACT,SPECIES,Animalia,Aves,Pandion,,02009L0147-20190626,Pandion haliaetus
Parus ater cypriotes,Birds,I,FALSE,taxon,4409007,2487871,EXACT,SUBSPECIES,Animalia,Aves,Periparus,,02009L0147-20190626,Parus ater cypriotes
Pelagodroma marina,Birds,I,FALSE,taxon,2481991,2481991,EXACT,SPECIES,Animalia,Aves,Pelagodroma,,02009L0147-20190626,Pelagodroma marina
Pelecanus crispus,Birds,I,FALSE,taxon,2480353,2480353,EXACT,SPECIES,Animalia,Aves,Pelecanus,,02009L0147-20190626,Pelecanus crispus
Pelecanus onocrotalus,Birds,I,FALSE,taxon,2480350,2480350,EXACT,SPECIES,Animalia,Aves,Pelecanus,,02009L0147-20190626,Pelecanus onocrotalus
Perdix perdix hispaniensis,Birds,I,FALSE,taxon,2473966,2473958,EXACT,SUBSPECIES,Animalia,Aves,Perdix,,02009L0147-20190626,Perdix perdix hispaniensis
Perdix perdix italica,Birds,I,FALSE,taxon,2473961,2473958,EXACT,SUBSPECIES,Animalia,Aves,Perdix,,02009L0147-20190626,Perdix perdix italica
Pernis apivorus,Birds,I,FALSE,taxon,2480420,2480420,EXACT,SPECIES,Animalia,Aves,Pernis,,02009L0147-20190626,Pernis apivorus
Phalacrocorax aristotelis desmarestii,Birds,I,FALSE,taxon,4408479,2481861,EXACT,SUBSPECIES,Animalia,Aves,Phalacrocorax,,02009L0147-20190626,Phalacrocorax aristotelis desmarestii
Phalacrocorax pygmeus,Birds,I,FALSE,taxon,2481888,6066518,EXACT,SPECIES,Animalia,Aves,Microcarbo,,02009L0147-20190626,Phalacrocorax pygmeus
Phalaropus lobatus,Birds,I,FALSE,taxon,5739290,5739290,EXACT,SPECIES,Animalia,Aves,Phalaropus,,02009L0147-20190626,Phalaropus lobatus
Philomachus pugnax,Birds,I,FALSE,taxon,5229387,8250742,EXACT,SPECIES,Animalia,Aves,Calidris,,02009L0147-20190626,Philomachus pugnax
Phoenicopterus ruber,Birds,I,FALSE,taxon,9691034,9691034,EXACT,SPECIES,Animalia,Aves,Phoenicopterus,,02009L0147-20190626,Phoenicopterus ruber
Picoides tridactylus,Birds,I,FALSE,taxon,2477804,2477804,EXACT,SPECIES,Animalia,Aves,Picoides,,02009L0147-20190626,Picoides tridactylus
Picus canus,Birds,I,FALSE,taxon,2478548,2478548,EXACT,SPECIES,Animalia,Aves,Picus,,02009L0147-20190626,Picus canus
Platalea leucorodia,Birds,I,FALSE,taxon,2480801,2480801,EXACT,SPECIES,Animalia,Aves,Platalea,,02009L0147-20190626,Platalea leucorodia
Plegadis falcinellus,Birds,I,FALSE,taxon,2480773,2480773,EXACT,SPECIES,Animalia,Aves,Plegadis,,02009L0147-20190626,Plegadis falcinellus
Pluvialis apricaria,Birds,I,FALSE,taxon,2480332,2480332,EXACT,SPECIES,Animalia,Aves,Pluvialis,,02009L0147-20190626,Pluvialis apricaria
Podiceps auritus,Birds,I,FALSE,taxon,2482059,2482059,EXACT,SPECIES,Animalia,Aves,Podiceps,,02009L0147-20190626,Podiceps auritus
Polysticta stelleri,Birds,I,FALSE,taxon,5232431,5232431,EXACT,SPECIES,Animalia,Aves,Polysticta,,02009L0147-20190626,Polysticta stelleri
Porphyrio porphyrio,Birds,I,FALSE,taxon,2474416,2474416,EXACT,SPECIES,Animalia,Aves,Porphyrio,,02009L0147-20190626,Porphyrio porphyrio
Porzana parva,Birds,I,FALSE,taxon,2474627,2474627,EXACT,SPECIES,Animalia,Aves,Porzana,,02009L0147-20190626,Porzana parva
Porzana porzana,Birds,I,FALSE,taxon,2474621,2474621,EXACT,SPECIES,Animalia,Aves,Porzana,,02009L0147-20190626,Porzana porzana
Porzana pusilla,Birds,I,FALSE,taxon,2474628,2474628,EXACT,SPECIES,Animalia,Aves,Porzana,,02009L0147-20190626,Porzana pusilla
Pterocles alchata,Birds,I,FALSE,taxon,2480204,2480204,EXACT,SPECIES,Animalia,Aves,Pterocles,,02009L0147-20190626,Pterocles alchata
Pterocles orientalis,Birds,I,FALSE,taxon,2480193,2480193,EXACT,SPECIES,Animalia,Aves,Pterocles,,02009L0147-20190626,Pterocles orientalis
Pterodroma feae,Birds,I,FALSE,taxon,2481473,2481473,EXACT,SPECIES,Animalia,Aves,Pterodroma,,02009L0147-20190626,Pterodroma feae
Pterodroma madeira,Birds,I,FALSE,taxon,2481463,2481463,EXACT,SPECIES,Animalia,Aves,Pterodroma,,02009L0147-20190626,Pterodroma madeira
Puffinus assimilis,Birds,I,FALSE,taxon,5739275,5739275,EXACT,SPECIES,Animalia,Aves,Puffinus,,02009L0147-20190626,Puffinus assimilis
Puffinus puffinus mauretanicus,Birds,I,FALSE,taxon,6486580,5229360,EXACT,SUBSPECIES,Animalia,Aves,Puffinus,Puffinus mauretanicus,02009L0147-20190626,Puffinus puffinus mauretanicus (Puffinus mauretanicus)
Puffinus yelkouan,Birds,I,FALSE,taxon,5229377,5229377,EXACT,SPECIES,Animalia,Aves,Puffinus,,02009L0147-20190626,Puffinus yelkouan
Pyrrhocorax pyrrhocorax,Birds,I,FALSE,taxon,2482552,2482552,EXACT,SPECIES,Animalia,Aves,Pyrrhocorax,,02009L0147-20190626,Pyrrhocorax pyrrhocorax
Pyrrhula murina,Birds,I,FALSE,taxon,4408970,4408970,EXACT,SPECIES,Animalia,Aves,Pyrrhula,Pyrrhula pyrrhula murina,02009L0147-20190626,Pyrrhula murina (Pyrrhula pyrrhula murina)
Recurvirostra avosetta,Birds,I,FALSE,taxon,2480259,2480259,EXACT,SPECIES,Animalia,Aves,Recurvirostra,,02009L0147-20190626,Recurvirostra avosetta
Saxicola dacotiae,Birds,I,FALSE,taxon,2492522,2492522,EXACT,SPECIES,Animalia,Aves,Saxicola,,02009L0147-20190626,Saxicola dacotiae
Sitta krueperi,Birds,I,FALSE,taxon,2484880,2484880,EXACT,SPECIES,Animalia,Aves,Sitta,,02009L0147-20190626,Sitta krueperi
Sitta whiteheadi,Birds,I,FALSE,taxon,2484886,2484886,EXACT,SPECIES,Animalia,Aves,Sitta,,02009L0147-20190626,Sitta whiteheadi
Sterna albifrons,Birds,I,FALSE,taxon,5229215,5789279,EXACT,SPECIES,Animalia,Aves,Sternula,,02009L0147-20190626,Sterna albifrons
